0.000000,-621.394938,1.251617,-620.143321,37.823997,58863.300250,4.030000,-0.187972,-0.036803,-0.131359
0.005000,-630.561005,10.063970,-620.497035,304.134169,51351.334276,4.030000,-0.179197,-0.036717,-0.129127
0.010000,-643.624888,22.801189,-620.823699,689.054200,40005.655478,4.030000,-0.162211,-0.036383,-0.124654
0.015000,-655.153444,34.182730,-620.970714,1033.005480,29188.069600,4.030000,-0.138078,-0.035509,-0.117928
0.020000,-662.261292,41.279168,-620.982124,1247.460559,21925.822598,4.030000,-0.108267,-0.033720,-0.108924
0.025000,-664.276467,43.345207,-620.931260,1309.896455,19586.940770,4.030000,-0.074532,-0.030641,-0.097609
0.030000,-661.779534,40.932411,-620.847123,1236.981515,21891.645751,4.030000,-0.038783,-0.026046,-0.083947
0.035000,-656.100318,35.369873,-620.730445,1068.881068,27528.379111,4.030000,-0.002999,-0.019929,-0.067903
0.040000,-649.165330,28.568736,-620.596594,863.350042,34456.479387,4.030000,0.030786,-0.012531,-0.049436
0.045000,-643.145481,22.652836,-620.492644,684.570960,40623.601748,4.030000,0.060586,-0.004305,-0.028528
0.050000,-639.715609,19.251923,-620.463685,581.795035,44465.789297,4.030000,0.084545,0.004153,-0.005259
0.055000,-639.369370,18.854214,-620.515156,569.776223,45434.075513,4.030000,0.101006,0.012192,0.020066
0.060000,-641.331586,20.722939,-620.608647,626.249278,44115.323011,4.030000,0.108658,0.019193,0.046820
0.065000,-644.125055,23.430361,-620.694694,708.067826,41698.789888,4.030000,0.106731,0.024653,0.074011
0.070000,-646.340937,25.597721,-620.743216,773.565677,39476.239413,4.030000,0.095186,0.028191,0.100343
0.075000,-647.143118,26.393922,-620.749196,797.626938,38391.774271,4.030000,0.074851,0.029550,0.124359
0.080000,-646.385977,25.662581,-620.723396,775.525742,38758.589684,4.030000,0.047455,0.028579,0.144624
0.085000,-644.474369,23.794420,-620.679949,719.069741,40225.176473,4.030000,0.015538,0.025243,0.159852
0.090000,-642.138872,21.509176,-620.629696,650.009448,42120.708482,4.030000,-0.017741,0.019650,0.168915
0.095000,-640.240019,19.658766,-620.581253,594.089858,43654.614289,4.030000,-0.048865,0.012097,0.170791
0.100000,-639.579875,19.027459,-620.552416,575.011696,44089.547042,4.030000,-0.074323,0.003095,0.164617
0.105000,-640.605921,20.043832,-620.562089,605.726585,42964.751259,4.030000,-0.091081,-0.006624,0.149852
0.110000,-643.147061,22.540801,-620.606260,681.185237,40345.185884,4.030000,-0.097054,-0.016176,0.126621
0.115000,-646.472487,25.808985,-620.663502,779.950088,36886.920434,4.030000,-0.091402,-0.024624,0.096044
0.120000,-649.624702,28.913777,-620.710925,873.777217,33559.568416,4.030000,-0.074526,-0.031106,0.060231
0.125000,-651.788961,31.054317,-620.734644,938.464540,31267.677166,4.030000,-0.047661,-0.034963,0.021848
0.130000,-652.535988,31.804286,-620.731702,961.128685,30484.937046,4.030000,-0.012401,-0.035863,-0.016509
0.135000,-651.886145,31.177431,-620.708714,942.185071,31188.927810,4.030000,0.029618,-0.033873,-0.052794
0.140000,-650.206613,29.527845,-620.678768,892.334414,32942.437761,4.030000,0.076780,-0.029439,-0.085632
0.145000,-648.016902,27.369276,-620.647626,827.102232,35237.890589,4.030000,0.127408,-0.023298,-0.114175
0.150000,-645.865172,25.248690,-620.616482,763.017910,37598.706370,4.030000,0.179653,-0.016345,-0.137807
0.155000,-644.273203,23.680121,-620.593083,715.615595,39517.451647,4.030000,0.231392,-0.009578,-0.155897
0.160000,-643.602042,23.009658,-620.592383,695.354158,40641.262764,4.030000,0.280136,-0.004055,-0.167667
0.165000,-643.844957,23.227755,-620.617203,701.945049,40956.536689,4.030000,0.323015,-0.000864,-0.172240
0.170000,-644.613819,23.965632,-620.648186,724.243788,40706.841077,4.030000,0.356837,-0.001033,-0.168866
0.175000,-645.411147,24.742567,-620.668580,747.722827,40257.297605,4.030000,0.378299,-0.005355,-0.157291
0.180000,-645.889834,25.214021,-620.675813,761.970206,39896.463738,4.030000,0.384361,-0.014080,-0.138133
0.185000,-645.908683,25.231670,-620.677013,762.503572,39790.635415,4.030000,0.372781,-0.026586,-0.113031
0.190000,-645.458942,24.788667,-620.670275,749.115989,39969.377229,4.030000,0.342650,-0.041289,-0.084406
0.195000,-644.672242,24.020924,-620.651318,725.914707,40370.343862,4.030000,0.294756,-0.055989,-0.054913
0.200000,-643.858542,23.231539,-620.627003,702.059426,40789.878991,4.030000,0.231611,-0.068538,-0.026897
0.205000,-643.396985,22.785179,-620.611806,688.570372,40940.246779,4.030000,0.157006,-0.077422,-0.002033
0.210000,-643.524246,22.910854,-620.613392,692.368291,40684.605783,4.030000,0.075288,-0.081997,0.018778
0.215000,-644.214949,23.587683,-620.627266,712.822130,40080.859088,4.030000,-0.009218,-0.082402,0.035350
0.220000,-645.240596,24.596223,-620.644372,743.300308,39304.487281,4.030000,-0.092503,-0.079332,0.048025
0.225000,-646.301746,25.642030,-620.659716,774.904697,38570.996757,4.030000,-0.170926,-0.073771,0.057454
0.230000,-647.126142,26.457588,-620.668554,799.550933,38055.457355,4.030000,-0.241141,-0.066773,0.064370
0.235000,-647.549623,26.882322,-620.667301,812.386444,37881.347556,4.030000,-0.300122,-0.059264,0.069394
0.240000,-647.569593,26.912391,-620.657202,813.295132,38047.121903,4.030000,-0.345386,-0.051844,0.072972
0.245000,-647.322040,26.675857,-620.646182,806.147053,38429.296724,4.030000,-0.375297,-0.044666,0.075424
0.250000,-646.976464,26.336471,-620.639992,795.890779,38833.189505,4.030000,-0.389289,-0.037462,0.077011
